제목,날짜,abstract
강박장애를 가진 성인 남성의 강박과 불안 감소를 위한 정신역동적 미술치료 사례연구,2023.6,"본 연구는 정신역동적 관점에서 실시된 미술치료가 성인 남성의 강박과 불안에 미치는 효과를 알아보기 위해 실시되었다.  연구 참여자는 강박장애로 진단을 받은 만 30세 남성이며 미술치료는 매주 1회, 60분씩, 총 23회기가 실시되었다.  미술치료의 효과를 검증하기 위하여 강박 척도(OCI-R)와 불안 척도(STAI) 및 집-나무-사람 그림 검사(HTP)를 치료 사전과 사후에 실시하여 비교하였다.  본 연구의 결과는 다음과 같다.  강박 척도 점수는 사전 46점에서 사후 37점으로 9점이 감소되었으며, 상태 불안 점수는 사전 73점에서 사후 54점으로 19점이 감소되었고 특성 불안 점수는 사전 70점에서 사후 59점으로 11점이 감소되었다."
심리적 소진을 겪는 직장여성의 자기 돌봄을 위한 인간중심 미술치료 사례연구,2023.6,"본 사례연구의 목적은 자기 돌봄을 촉진하기 위한 인간중심 접근의 미술치료 사례를 조사함으로써 심리적 소진을 경험하고 있는 직장 여성이 경험한 치료적 변화를 탐구하는 것이다.  연구의 참여자는 30대 여성이며, 그녀는 직장 동료와 상사로부터 지속적인 스트레스를 받아 의욕이 없고 무기력하다고 호소하였다.  미술치료는 주 1회 60분씩 총 14회가 진행되었다.  치료적 변화를 파악하기 위하여 치료일지, 치료 작품, 축어록을 중심으로 질적 분석을 수행하여 회기별 변화 과정, 미술 작업과 일상생활에서의 변화, 자기 돌봄 행동의 변화를 살펴보았고 미술치료 사전과 사후에 실시한 HTP검사를 비교하였다.  연구결과는 다음과 같다."
미술치료사의 코로나 시기(COVID-19) 미술치료 키트(KIT) 개발에 대한 체험연구,2023.6,"본 연구는 코로나19 시기에 미술치료 키트를 개발한 미술치료사들이 '기획-제작-배포' 전 과정에서 체험한 의미를 탐구하는 것을 목적으로 한다.  연구 참여자는 총 7명의 미술치료사이며, google form을 활용한 기초 자료 수집 및 약 40-60분 간의 개별 인터뷰 실시를 통해 자료를 수집하였다.  개별 인터뷰를 위한 질문 내용은 Krueger와 Casey(2000)가 제시한 질문방식을 적용 및 보완하여 도입 질문(Opening questions), 전환 질문(Transition questions), 주요 질문(Key questions), 마무리 질문(Ending questions) 순으로 작성하였으며, 총 14개의 개방형 질문으로 구성하였다.  본 연구에서는 인터뷰 자료 전사본 총 45장이 분석에 활용되었으며, Colaizzi(1978)의 현상학적 기술 방법에 근거하여 7가지 단계로 분석하였다.  이 결과, '감염병 상황 속 치료 형태 변화의 혼란에서도 방법을 궁리함', '기존 미술치료를 바탕으로 계획을 수립해나감', '치료적 개입의 한계에 따른 미술치료 키트 제작 전략을 고려함', '철저한 계획에 따른 미술치료 키트 배포 전략을 고려함', '시행착오를 경험하며 보완해나감', '미술치료 키트 활용 미술치료만의 새로운 의미를 발견함', '미술치료 키트만의 정체성 및 발전 가능성을 확인함'이라는 7개의 대주제와 '미술치료의 확장'이라는 1개의 근본 주제가 도출되었다."
쌍둥이 자녀를 둔 어머니의 양육효능감을 위한 미술치료 질적 사례 연구,2023.6,"본 연구는 쌍둥이 자녀를 둔 어머니가 양육효능감을 위한 미술치료를 통해 어떠한 경험을 하고, 그 경험의 의미가 무엇인지 알아보고자 하였다.  연구 참여자는 6세 이란성 남아 쌍둥이의 어머니로, 2022년 5월 26일부터 9월 8일까지 주 1회 90분간 총 12회기의 미술치료를 실시하였다.  자료 수집은 미술치료 회기들의 녹음파일과 축어록, 심층 면담, 회기별 작업 과정 및 작품 사진, 연구자의 관찰일지들이며, 이 자료들은 회기별 분석과 반복적 비교분석법을 활용하여 분석하였다.  본 연구의 결론은 다음과 같다.  첫째, 연구 참여자는 미술작업을 통해 쌍둥이 양육으로 소진된 자신의 감정과 느낌을 이미지화 하고 표현함으로써 자기이해를 하게 되었다."
집단미술치료가 요양시설 거주 남성노인의 우울과 주관적 행복감에 미치는 효과,2023.10,"본 연구는 집단미술치료가 요양시설 거주 남성노인들을 대상으로 우울과 주관적 행복감에 미치는 효과를 알아보는 데 목적이 있다.  연구대상은 K시 소재의 노인요양시설에 장기입소하는 만 65세 이상의 남성노인 중 한국형 노인우울검사를 기준으로 경도 우울 이상의 점수를 받은 자 총 10명 선정하여 실험집단 5명, 통제집단 5명을 무선으로 배치하였다.  실험집단은 주 1회, 회당 60분씩 사전·사후 검사를 제외한 총 12회기를 진행하였다.  연구 도구로는 한국형 노인우울검사(K-GDS), 주관적 행복감 척도(OHQ)를 사용하였고, 프로그램의 단계별 질적 변화 분석도 함께 하였다.  프로그램 처치 후 프로그램의 효과성 검증을 위해 SPSS 22."
미술치료 프로그램이 특수교육대상자 비장애형제의 문제행동에 미치는 영향,2023.8,"연구목적: 본 연구는 미술치료 프로그램이 특수교육대상자 비장애형제의 문제행동에 미치는 영향에 대해 알아보고자 하였다.  연구 기간은 2022년 4월부터 시작하여 2022년 10월까지 주 1회, 한 회기당 40분씩 진행되었으며, 1:1 개별중재로 기초선 1회기, 중재 16회기, 유지 4회기로 총 21회기가 진행되었으며, A시의 의원부설 아동발달클리닉 개별 미술치료실에서 이루어졌다.  연구방법: 연구대상은 일반 어린이집 만 4세 학급에 재원하고 있는 비장애형제유아 1명을 대상으로 행동간 단일사례를 사용하였으며, 사건기록법으로 문제행동발생 빈도수를 측정하였다.  연구결과: 연구결과는 다음과 같다.  첫째, 미술치료가 특수교육대상자 비장애형제의 문제행동(자신의 몸 때리기, 상대방 밀치기, 남의 물건 빼앗기)의 감소에 영향을 주었다."
방임을 경험한 다문화 가정 아동의 정서표현을 위한 미술치료 질적 사례 연구,2023.3,"본 연구의 목적은 방임을 경험한 다문화 가정 아동이 정서표현을 위한 미술치료를 통해 어떠한 경험을 하며, 그 경험의 의미는 무엇인지 알아보는 데에 있다.  연구의 참여자는 방임을 경험한 다문화 가정 아동으로 초등학교 5학년에 재학 중인 12세 남아이며 주 1회 60분씩, 총 10회의 미술치료에 참여하였다.  연구를 위한 미술치료 프로그램은 Mayer와 Salovey가 제시한 정서 지능 4영역 4수준 16요소 모형의 하위 영역인 '정서의 인식과 표현'을 토대로 구성되었다.  연구 참여자의 미술 작품, 매회기 수집된 녹음 및 축어록 등 다양하게 수집된 자료를 Creswell이 제시한 질적연구에서의 자료 분석 방법을 적용하여 분석한 결과, 총 4개의 상위 주제와 12개의 하위 주제로 도출되었다.  본 연구는 정서표현을 위한 미술치료가 방임을 경험한 다문화 가정 아동의 정서표현을 확장하고 억압되어 있던 정서를 충분히 탐색한 후 표현할 수 있는 계기가 되었으며 미술치료에서 연구자와 신뢰 관계를 형성하고 대인관계의 긍정 정서를 인식했던 경험이 실제 대인관계에서 긍정적인 영향으로 연결되었음을 확인하였다."
소아암 환아의 정서적 안정을 위한 부모상담 병행 비대면 미술치료 사례연구,2023.3,"본 연구는 COVID-19 감염병의 확산으로 심리적 지원이 어려운 상황에서 부모상담을 병행한 비대면 개인 미술치료가 학령기 소아암 환아들의 정서적 안정에 미치는 영향을 알아보는 것에 목적이 있다.  연구 대상은 소아암 진단 후 통원 치료 중인 환아 2명(6세 남아, 7세 여아)으로, 2021년 7월부터 9월까지 주 1회, 60분씩, 사전․사후 검사를 포함하여 총 12회기의 부모상담을 병행한 비대면 미술치료를 실시하였다.  그 과정에서 수집한 회기별 연구 일지, 축어록, 작품 사진과 사전․사후에 각각 진행된 CBCL 6-18, PITR의 결과, 개방형 질문지를 종합적으로 비교 분석하여 다음과 같은 결과가 도출되었다.  첫째, CBCL 6-18에서 불안․우울 항목의 T점수가 A는 77점에서 70점으로, B는 65점에서 52점으로 감소하였으며, 위축․우울 항목 T점수가 A는 65점에서 59점으로, B는 73점에서 54점으로 감소되었다.  둘째, PITR에서 스트레스 대처능력 점수가 A는 -2점에서 6점으로 B는 2점에서 7점으로 상승하였고, 인물상의 크기나 위치, 형태, 그림을 그리는 태도에서 차이가 관찰되었다."
공격성을 보이는 초등 남아의 짝미술치료 사례연구,2022.12,"본 연구는 공격성을 보이는 초등 남아의 짝 미술치료 과정을 탐색하고자 진행하였다.  연구를 위해 공격적 행동을 보여 의뢰된 남아(8세) 2명을 대상으로 2020년 12월부터 2021년 5월까지 주 1회 총 23회기 짝 미술치료를 실시하였으며, 현장 기록, 회기록, 작품사진, 축어록, 모와의 상담 자료를 수집 정리하였다.  또한 짝 미술치료 전과 후에 동적 가족화를 실시하여 비교하였다.  본 연구 결과 첫째, 미술치료 과정에서 두 아동은 정서 및 행동 변화를 통해 사회성이 긍정적으로 변화하는 과정이 관찰되었다.  둘째, 사전・사후 검사로 실행한 동적 가족화에서 세부 묘사 분석으로 친밀감이 향상 되고 가족에 대한 인식이 긍정적으로 변화되었음을 보여주었다."
자해행동이 있는 자폐스펙트럼장애 아동의 문제행동 감소를 위한 미술치료 사례연구,2023.12,"본 연구는 미술치료 프로그램이 자해행동이 있는 자폐스펙트럼장애 아동의 문제행동에 어떠한 변화를 보이는지 알아보는데 목적이 있다.  연구대상은 만 9세 자폐스펙트럼장애진단을 받은 남자 아동 한명이다.  미술치료프로그램은 상반행동차별강화를 근거로 구성하여 실시하였다.  프로그램 실시는 2023년 5월부터 9월까지 주1∼ 2회 총 22회기 실시하였다.  문제행동에 대한 변화는 미술치료 프로그램 회기를 녹화하여 분석하였으며, 관찰자1인과 수퍼바이저 1인과 분석내용을 협의하고 일치도를 구하고 회기별 기록을 하였다."
영상광고 활용이 청소년 미술치료에 미치는 영향 연구 (제3국 출생 북한이탈주민 자녀 단일사례를 중심으로),2023.4,"본 연구는 영상광고 활용이 제3국 출생 북한이탈주민자녀 청소년의 미술치료에 미치는 영향을 연구한 단일사례로 미술치료에 디지털매체인 영상광고를 활용하는 것이 연구대상자의 심리적 변화에 어떻게 작용하는지 밝히고자 진행되었다.  연구 참여자는 중국에서 태어나 중도 입국한 18세 청소년(여)으로 주1회 60분 총15회기 진행되었으며, 각 회기의 주제에 맞게 선정된 2-3분 가량의 공익적 영상광고를 시청 후 미술치료를 시작하였다.  연구 결과 미술치료에 영상광고를 활용함으로 심리적 방어를 낮추어 심리정서에 쉽게 다가가도록 돕는 촉매제 역할, 주제에 대한 시각적 문해력 제공, 내면의 정서를 통찰 하는 적극적 상상의 매개체가 되는 것으로 파악되었다.  본 연구는 급변하는 디지털시대를 사는 디지털세대들과 다양한 계층의 인구학적 특성에 맞추어 디지털 매체를 활용한 사례로서 미술치료에 창의적인 매체 융합의 필요성을 뒷받침할 것으로 사료된다. This study is a single case of art therapy for children of North Korean refugees born in a third country, focusing on the use of video advertising."
외국인 유학생의 미술치료 경험에 관한 내러티브 탐구,2022.12,"본 연구는 문화적응스트레스를 겪는 외국인 유학생이 미술치료를 통해 어떤 경험을 하는지, 그리고 경험의 의미가 무엇인지 탐구해 보고자 하였다.  연구자는 개인 또는 소수의 삶을 이해하는데 효과적인 내러티브 탐구 방법을 사용하였다.  연구 참여자는 베트남 국적의 20대 외국인 유학생 여성 2명이다.  연구는 2022년 2월 한 달 동안 사전․사후 면담과 총 6회기의 미술치료가 진행되었다.  미술치료 녹취록, 세션로그(session log), 참여자들의 미술작품을 통해 구성된 연구 참여자들의 경험의 이야기는 '핑크빛 봄: 따뜻한 봄의 설렘과 함께 생각나는 가족', '환절기: 한국에 적응하기', '태풍이 오는 가을: 한국 유학 생활의 어려움', '변덕스러운 가을의 우기: 예기치 못한 고민들', '가을은 천고마비의 계절: 한국 유학 생활에서 얻은 것'이다."
워킹맘의 유아기 자녀의 애착 및 정서발달을 위한 모-자 미술치료 사례연구,2023.6,"본 연구는 워킹맘의 유아기 자녀의 애착 및 정서발달을 위한 모-자 미술치료 과정에서 모 자의 경험과 그 경험에 따른 모-자 미술치료의 의미는 무엇인지 살펴보는 데 목적이 있다.  본연구를 위해 애착 형성과 정서적 측면에 어려움을 느끼는 5세 남아와 일과 양육을 병행하는어머니를 연구 참여자로 선정하고, 2022년 6월 11일부터 2022년 8월 6일까지 총 10회기의 모 자 미술치료 사례를 진행하였다.  그 결과, 모-자의 경험은 '기존의 모-자 관계가 미술 활동에서 여전히 드러남', '미술 활동을 통해 모-자 관계를 힘들게 한 것들을 하나씩 극복해나감', '미술치료에서 모-자만의 관계를 새롭게 만들어감' 총 3개의 상위범주와 6개의 하위범주, 15개의의미단위로 도출되었다.  본 연구는 모-자 미술치료를 통해 워킹맘과 유아기 자녀가 서로가 만족할 수 있는 방법으로 상호작용하는 즐거움을 경험하고 건강한 관계를 형성하도록 도왔으며, 나아가 이들이 지금의 안정되고 즐거운 관계를 유지하면서 앞으로의 삶의 적응력과 유아의 건강한 성장과 발달에 긍정적인 영향을 미칠 수 있다는 가능성을 보여줬다는 점에서 의의가 있다. The purpose of this qualitative case study is to examine what kind of experience mother and child had in mother-child art therapy and what is the meaning of the mother-child art therapy according to that experience."
미술 기반 동료 슈퍼비전 작품을 온라인 전시로 감상한 미술치료사들의 경험과 의미: 포커스 그룹 인터뷰(FGI)를 바탕으로,2023.6,"본 연구는 미술 기반 동료 슈퍼비전에서 생성된 미술작품을 온라인에서 감상한 미술치료사들의 경험과 그 의미를 이해하는 데 목적이 있다.  연구 대상은 다양한 경력의 미술치료사 12명이며, 포커스 그룹 인터뷰를 통해 자료를 수집한 후 Van Kaam의 해석학적 연구 방법을 토대로 분석하였다.  분석 결과 '슈퍼비전에 대한 미술치료사들의 인식', '미술치료사의 미술 기반 동료 슈퍼비전 전시 감상 경험', '새로운 동료 슈퍼비전 방법에 대한 의견'이라는 3개의 범주와 7 개의 주제가 도출되었다.  미술 기반 동료 슈퍼비전 작품의 감상 경험은 미술치료사인 창작자와감상자가 작품을 통해 상호작용함으로써 동료 슈퍼비전의 경험으로 공유, 확장되었으며, 새로운 슈퍼비전 방식으로 미술치료사들의 전시 감상을 통한 간접적인 동료 슈퍼비전의 가능성을확인할 수 있었다.  본 연구는 새로운 미술치료 동료 슈퍼비전을 통해 슈퍼비전의 본질적 기능을 유지한 채 관계 및 시공간의 확장을 시도하고, 다양한 환경에서 시도될 수 있도록 방안을제시하였다는 데 의의가 있다The purpose of this study is to understand the experiences and meanings of art therapists who viewed art works generated by art-based peer supervision online."
성인 초기 발달장애인의 자기 표현력 향상과 공격적 행동 감소를 위한 미술치료 사례연구,2023.9,"본 연구는 공격적 행동을 보이는 성인 초기 발달장애인에게 실시한 미술치료가 자기 표현력 향상과 공격적행동 감소에 어떠한 영향을 미치는가에 관해 알아보고자 하였다.  연구대상은 26세 지적장애 3급 판정을 받은성인 초기 발달장애인으로 2022년 3월 11일부터 8월 30일까지 주 1회 60분  씩 총 20회기 미술치료를 진행하였다.  연구 도구는 자기 표현력 향상 체크리스트, KFD 동적 가족화 검사와 참여자의 사전⋅사후 행동변화에관한 어머니의 인터뷰를 함께 진행하였으며 연구결과는 다음과 같다.  첫째, 미술치료  프로그램은 공격적 행동을보이는 성인 초기 발달장애인이 내면의 응어리진  마음 상태를 그림과 이야기로 분노를 표출하고 부정적인 감정을 표현하게 함으로써 자기 표현력이 향상되었다.  둘째, 미술 매체를 활용한 미술 활동은 성인 초기 발달장애인의 공격적  증상을 완화시켜주고 심리적 안정감을  갖게 하는 것으로 나타났다."
독거노인의 집단미술치료 경험에 대한 질적 사례연구,2023.9,"본 연구는 혼자 살아가는 독거노인이 집단미술치료 프로그램을 통해 어떤 경험을 하는지, 참여로 인한 변화의 과정은 어떠한지에 대해 알아보는 데에 연구목적이 있다.  이는 노년기의 삶 속에서 발현되는 정신적, 신체적 변화와 삶 속에서 느끼는 내적 갈등 및 불안에 대해 마주하고 자기 자각 및 정서적 회복을 위한 프로그램으로 진행하였다.  연구 참여자는 노인복지관에 소속된 만 65세 이상의 사별을 경험한 독거노인 8명으로 선별되었으며, 총 10회기로 진행되었다.  연구 방법으로 Stake(1995)와 Yin(2009)의 질적 사례 연구절차를 통해 총체적 내용 중 의미가 담긴 주제들로 구분 및 세분화하여 분석하였다.  연구 결과로 독거노인의 집단미술치료 프로그램의 경험적 의미는 경직된 정서적 반응에 융통성을 부여하고 행동적 측면에 능동적인 변화를 나타내었다."
